source ID,target ID,mapping description
C0028,S0089,(Citation: Booz Allen Hamilton)
C0028,S0607,(Citation: Booz Allen Hamilton)
C0025,S0604,"Within the [2016 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0025), [Industroyer](https://attack.mitre.org/software/S0604) was used to target and disrupt the Ukrainian power grid substation components.(Citation: Dragos Crashoverride 2018)(Citation: ESET Industroyer)"
C0034,S0693,(Citation: Mandiant-Sandworm-Ukraine-2022)
C0040,S0154,[Cobalt Strike](https://attack.mitre.org/software/S0154) was used during [APT41 DUST](https://attack.mitre.org/campaigns/C0040).(Citation: Google Cloud APT41 2024)
C0040,S1158,[DUSTPAN](https://attack.mitre.org/software/S1158) was used during [APT41 DUST](https://attack.mitre.org/campaigns/C0040).(Citation: Google Cloud APT41 2024)
C0040,S1159,[DUSTTRAP](https://attack.mitre.org/software/S1159) was used during [APT41 DUST](https://attack.mitre.org/campaigns/C0040).(Citation: Google Cloud APT41 2024)
C0040,S0160,[APT41 DUST](https://attack.mitre.org/campaigns/C0040) used [certutil](https://attack.mitre.org/software/S0160) to load and execute [DUSTPAN](https://attack.mitre.org/software/S1158).(Citation: Google Cloud APT41 2024)
C0010,S1042,(Citation: Mandiant UNC3890 Aug 2022)
C0010,S1049,(Citation: Mandiant UNC3890 Aug 2022)
C0011,S0115,"For [C0011](https://attack.mitre.org/campaigns/C0011), [Transparent Tribe](https://attack.mitre.org/groups/G0134) used an updated version of [Crimson](https://attack.mitre.org/software/S0115).(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022)"
C0015,S0552,(Citation: DFIR Conti Bazar Nov 2021)
C0015,S0534,(Citation: DFIR Conti Bazar Nov 2021)
C0015,S0154,(Citation: DFIR Conti Bazar Nov 2021)
C0015,S0575,(Citation: DFIR Conti Bazar Nov 2021)
C0015,S1040,(Citation: DFIR Conti Bazar Nov 2021)
C0017,S0154,"During [C0017](https://attack.mitre.org/campaigns/C0017), [APT41](https://attack.mitre.org/groups/G0096) used the DUSTPAN in-memory dropper to drop a [Cobalt Strike](https://attack.mitre.org/software/S0154) BEACON backdoor onto a compromised network.(Citation: Mandiant APT41)"
C0017,S1052,(Citation: Mandiant APT41)
C0017,S1051,(Citation: Mandiant APT41)
C0017,S0002,"During [C0017](https://attack.mitre.org/campaigns/C0017), [APT41](https://attack.mitre.org/groups/G0096) used [Mimikatz](https://attack.mitre.org/software/S0002) to execute the `lsadump::sam` command on dumped registry hives to obtain locally stored credentials and NTLM hashes.(Citation: Mandiant APT41)"
C0017,S0097,"During [C0017](https://attack.mitre.org/campaigns/C0017), [APT41](https://attack.mitre.org/groups/G0096) issued [Ping](https://attack.mitre.org/software/S0097) commands to trigger DNS resolutions for data exfiltration, where the output of a reconnaissance command was prepended to subdomains within [APT41](https://attack.mitre.org/groups/G0096)'s Cloudflare C2 infrastructure.(Citation: Mandiant APT41)"
C0017,S0105,"During [C0017](https://attack.mitre.org/campaigns/C0017), [APT41](https://attack.mitre.org/groups/G0096) used multiple [dsquery](https://attack.mitre.org/software/S0105) commands to enumerate various Active Directory objects within a compromised environment.(Citation: Mandiant APT41)"
C0018,S1053,"During [C0018](https://attack.mitre.org/campaigns/C0018), the threat actors used [AvosLocker](https://attack.mitre.org/software/S1053) ransomware to encrypt the compromised network.(Citation: Costa AvosLocker May 2022)(Citation: Cisco Talos Avos Jun 2022)"
C0018,S0154,(Citation: Cisco Talos Avos Jun 2022)
C0018,S0002,(Citation: Cisco Talos Avos Jun 2022)(Citation: Costa AvosLocker May 2022)
C0018,S0097,"During [C0018](https://attack.mitre.org/campaigns/C0018), the threat actors used a PowerShell script to execute [Ping](https://attack.mitre.org/software/S0097) commands once every minute against a domain controller.(Citation: Costa AvosLocker May 2022)"
C0018,S0633,(Citation: Cisco Talos Avos Jun 2022)
C0018,S0108,"During [C0018](https://attack.mitre.org/campaigns/C0018), the threat actors used [netsh](https://attack.mitre.org/software/S0108) on a domain controller to ensure there was no existing firewall or to disable one.(Citation: Costa AvosLocker May 2022)"
C0021,S0154,(Citation: FireEye APT29 Nov 2018)(Citation: Microsoft Unidentified Dec 2018)
C0026,S1074,"During [C0026](https://attack.mitre.org/campaigns/C0026), the threat actors re-registered expired [ANDROMEDA](https://attack.mitre.org/software/S1074) domains to profile past victims for further targeting.(Citation: Mandiant Suspected Turla Campaign February 2023)"
C0026,S0099,(Citation: Mandiant Suspected Turla Campaign February 2023)
C0026,S1075,[KOPILUWAK](https://attack.mitre.org/software/S1075) was used as a first-stage profiling utility for previous victims of [ANDROMEDA](https://attack.mitre.org/software/S1074) during [C0026](https://attack.mitre.org/campaigns/C0026).(Citation: Mandiant Suspected Turla Campaign February 2023)
C0026,S0039,(Citation: Mandiant Suspected Turla Campaign February 2023)
C0026,S1076,"During [C0026](https://attack.mitre.org/campaigns/C0026), the threat actors used [QUIETCANARY](https://attack.mitre.org/software/S1076) to gather and exfiltrate data.  (Citation: Mandiant Suspected Turla Campaign February 2023)"
C0026,S0104,(Citation: Mandiant Suspected Turla Campaign February 2023)
C0027,S0357,"During [C0027](https://attack.mitre.org/campaigns/C0027), [Scattered Spider](https://attack.mitre.org/groups/G1015) used [Impacket](https://attack.mitre.org/software/S0357) for lateral movement.(Citation: Crowdstrike TELCO BPO Campaign December 2022)"
C0032,S0002,(Citation: FireEye TRITON 2019)
C0033,S0491,(Citation: Talos Promethium June 2020)(Citation: Bitdefender StrongPity June 2020)
C0004,S0614,"During [CostaRicto](https://attack.mitre.org/campaigns/C0004), threat actors used a custom VM-based payload loader named [CostaBricks](https://attack.mitre.org/software/S0614).(Citation: BlackBerry CostaRicto November 2020)"
C0004,S0613,"During [CostaRicto](https://attack.mitre.org/campaigns/C0004), threat actors used the 64-bit backdoor loader [PS1](https://attack.mitre.org/software/S0613).(Citation: BlackBerry CostaRicto November 2020)"
C0004,S0194,"During [CostaRicto](https://attack.mitre.org/campaigns/C0004), threat actors used [PowerSploit](https://attack.mitre.org/software/S0194)'s `Invoke-ReflectivePEInjection` module.(Citation: BlackBerry CostaRicto November 2020)"
C0004,S0029,"During [CostaRicto](https://attack.mitre.org/campaigns/C0004), threat actors used [PsExec](https://attack.mitre.org/software/S0029).(Citation: BlackBerry CostaRicto November 2020)"
C0004,S0615,"During [CostaRicto](https://attack.mitre.org/campaigns/C0004), threat actors used [SombRAT](https://attack.mitre.org/software/S0615) in conjuction with [CostaBricks](https://attack.mitre.org/software/S0614) and [PowerSploit](https://attack.mitre.org/software/S0194).(Citation: BlackBerry CostaRicto November 2020)"
C0004,S0183,"During [CostaRicto](https://attack.mitre.org/campaigns/C0004), threat actors used C2 servers managed through [Tor](https://attack.mitre.org/software/S0183).(Citation: BlackBerry CostaRicto November 2020)"
C0029,S1118,(Citation: Mandiant Cutting Edge Part 2 January 2024)(Citation: Mandiant Cutting Edge Part 3 February 2024)
C0029,S0488, (Citation: Mandiant Cutting Edge Part 2 January 2024)
C0029,S1120,(Citation: Mandiant Cutting Edge Part 2 January 2024)
C0029,S1117,(Citation: Volexity Ivanti Zero-Day Exploitation January 2024)
C0029,S0357, (Citation: Mandiant Cutting Edge Part 2 January 2024)
C0029,S1119,(Citation: Mandiant Cutting Edge Part 2 January 2024)
C0029,S1121,(Citation: Mandiant Cutting Edge Part 3 February 2024)
