ID,name,description,created,last modified,associated groups,associated groups citations
G1028,APT-C-23,"[APT-C-23](https://attack.mitre.org/groups/G1028) is a threat group that has been active since at least 2014.(Citation: symantec_mantis) [APT-C-23](https://attack.mitre.org/groups/G1028) has primarily focused its operations on the Middle East, including Israeli military assets. [APT-C-23](https://attack.mitre.org/groups/G1028) has developed mobile spyware targeting Android and iOS devices since 2017.(Citation: welivesecurity_apt-c-23)",26 March 2024,16 April 2024,"['Arid Viper', 'Big Bang APT', 'Desert Falcon', 'Grey Karkadann', 'Mantis', 'TAG-63', 'Two-tailed Scorpion']","['welivesecurity_apt-c-23', 'sentinelone_israel_hamas_war', 'fb_arid_viper', 'checkpoint_interactive_map_apt-c-23', 'welivesecurity_apt-c-23', 'sentinelone_israel_hamas_war', 'fb_arid_viper', 'sentinelone_israel_hamas_war', 'symantec_mantis', 'sentinelone_israel_hamas_war', 'welivesecurity_apt-c-23']"
G0099,APT-C-36,"[APT-C-36](https://attack.mitre.org/groups/G0099) is a suspected South America espionage group that has been active since at least 2018. The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing.(Citation: QiAnXin APT-C-36 Feb2019)",05 May 2020,26 May 2021,['Blind Eagle'],['QiAnXin APT-C-36 Feb2019']
G0006,APT1,"[APT1](https://attack.mitre.org/groups/G0006) is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. (Citation: Mandiant APT1)",31 May 2017,26 May 2021,"['Comment Crew', 'Comment Group', 'Comment Panda']","['Mandiant APT1', 'Mandiant APT1', 'CrowdStrike Putter Panda']"
G0005,APT12,"[APT12](https://attack.mitre.org/groups/G0005) is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments.(Citation: Meyers Numbered Panda)",31 May 2017,30 March 2020,"['DNSCALC', 'DynCalc', 'IXESHE', 'Numbered Panda']","['Moran 2014', 'Meyers Numbered Panda', 'Moran 2014', 'Meyers Numbered Panda', 'Moran 2014', 'Meyers Numbered Panda']"
G0023,APT16,[APT16](https://attack.mitre.org/groups/G0023) is a China-based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations. (Citation: FireEye EPS Awakens Part 2),31 May 2017,26 July 2022,[''],[]
G0025,APT17,"[APT17](https://attack.mitre.org/groups/G0025) is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations. (Citation: FireEye APT17)",31 May 2017,04 September 2024,['Deputy Dog'],['FireEye APT17']
G0026,APT18,"[APT18](https://attack.mitre.org/groups/G0026) is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical. (Citation: Dell Lateral Movement)",31 May 2017,11 April 2024,"['Dynamite Panda', 'TG-0416', 'Threat Group-0416']","['ThreatStream Evasion Analysis', 'Anomali Evasive Maneuvers July 2015', 'ThreatStream Evasion Analysis', 'Anomali Evasive Maneuvers July 2015', 'ThreatStream Evasion Analysis']"
G0073,APT19,"[APT19](https://attack.mitre.org/groups/G0073) is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. (Citation: FireEye APT19) Some analysts track [APT19](https://attack.mitre.org/groups/G0073) and [Deep Panda](https://attack.mitre.org/groups/G0009) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016) (Citation: FireEye APT Groups) (Citation: Unit 42 C0d0so0 Jan 2016)",17 October 2018,11 April 2024,"['C0d0so0', 'Codoso', 'Codoso Team', 'Sunshop Group']","['Unit 42 C0d0so0 Jan 2016', 'Unit 42 C0d0so0 Jan 2016', 'FireEye APT Groups', 'Dark Reading Codoso Feb 2015']"
G0007,APT28,"[APT28](https://attack.mitre.org/groups/G0007) is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165.(Citation: NSA/FBI Drovorub August 2020)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021) This group has been active since at least 2004.(Citation: DOJ GRU Indictment Jul 2018)(Citation: Ars Technica GRU indictment Jul 2018)(Citation: Crowdstrike DNC June 2016)(Citation: FireEye APT28)(Citation: SecureWorks TG-4127)(Citation: FireEye APT28 January 2017)(Citation: GRIZZLY STEPPE JAR)(Citation: Sofacy DealersChoice)(Citation: Palo Alto Sofacy 06-2018)(Citation: Symantec APT28 Oct 2018)(Citation: ESET Zebrocy May 2019)

[APT28](https://attack.mitre.org/groups/G0007) reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election.(Citation: Crowdstrike DNC June 2016) In 2018, the US indicted five GRU Unit 26165 officers associated with [APT28](https://attack.mitre.org/groups/G0007) for cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations.(Citation: US District Court Indictment GRU Oct 2018) Some of these were conducted with the assistance of GRU Unit 74455, which is also referred to as [Sandworm Team](https://attack.mitre.org/groups/G0034). ",31 May 2017,10 October 2024,"['FROZENLAKE', 'Fancy Bear', 'Forest Blizzard', 'Group 74', 'IRON TWILIGHT', 'Pawn Storm', 'SNAKEMACKEREL', 'STRONTIUM', 'Sednit', 'Sofacy', 'Swallowtail', 'TG-4127', 'Threat Group-4127', 'Tsar Team']","['Leonard TAG 2023', 'Crowdstrike DNC June 2016', 'Kaspersky Sofacy', 'ESET Sednit Part 3', 'Ars Technica GRU indictment Jul 2018', 'Talos Seduploader Oct 2017', 'Symantec APT28 Oct 2018', 'Securelist Sofacy Feb 2018', 'Cybersecurity Advisory GRU Brute Force Campaign July 2021', 'Microsoft Threat Actor Naming July 2023', 'Talos Seduploader Oct 2017', 'Secureworks IRON TWILIGHT Profile', 'Secureworks IRON TWILIGHT Active Measures March 2017', 'SecureWorks TG-4127', 'ESET Sednit Part 3', 'TrendMicro Pawn Storm Dec 2020', 'Accenture SNAKEMACKEREL Nov 2018', 'Kaspersky Sofacy', 'ESET Sednit Part 3', 'Microsoft STRONTIUM Aug 2019', 'Microsoft STRONTIUM New Patterns Cred Harvesting Sept 2020', 'TrendMicro Pawn Storm Dec 2020', 'Cybersecurity Advisory GRU Brute Force Campaign July 2021', 'FireEye APT28 January 2017', 'SecureWorks TG-4127', 'Kaspersky Sofacy', 'Ars Technica GRU indictment Jul 2018', 'FireEye APT28', 'SecureWorks TG-4127', 'Crowdstrike DNC June 2016', 'ESET Sednit Part 3', 'Ars Technica GRU indictment Jul 2018', 'Talos Seduploader Oct 2017', 'Symantec APT28 Oct 2018', 'SecureWorks TG-4127', 'SecureWorks TG-4127', 'ESET Sednit Part 3', 'Talos Seduploader Oct 2017', 'Talos Seduploader Oct 2017']"
G0016,APT29,"[APT29](https://attack.mitre.org/groups/G0016) is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR).(Citation: White House Imposing Costs RU Gov April 2021)(Citation: UK Gov Malign RIS Activity April 2021) They have operated since at least 2008, often targeting government networks in Europe and NATO member countries, research institutes, and think tanks. [APT29](https://attack.mitre.org/groups/G0016) reportedly compromised the Democratic National Committee starting in the summer of 2015.(Citation: F-Secure The Dukes)(Citation: GRIZZLY STEPPE JAR)(Citation: Crowdstrike DNC June 2016)(Citation: UK Gov UK Exposes Russia SolarWinds April 2021)

In April 2021, the US and UK governments attributed the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024) to the SVR; public statements included citations to [APT29](https://attack.mitre.org/groups/G0016), Cozy Bear, and The Dukes.(Citation: NSA Joint Advisory SVR SolarWinds April 2021)(Citation: UK NSCS Russia SolarWinds April 2021) Industry reporting also referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and SolarStorm.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: MSTIC NOBELIUM Mar 2021)(Citation: CrowdStrike SUNSPOT Implant January 2021)(Citation: Volexity SolarWinds)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: Unit 42 SolarStorm December 2020)",31 May 2017,03 September 2024,"['Blue Kitsune', 'Cozy Bear', 'CozyDuke', 'Dark Halo', 'IRON HEMLOCK', 'IRON RITUAL', 'Midnight Blizzard', 'NOBELIUM', 'NobleBaron', 'SolarStorm', 'The Dukes', 'UNC2452', 'UNC3524', 'YTTRIUM']","['PWC WellMess July 2020', 'PWC WellMess C2 August 2020', 'Crowdstrike DNC June 2016', 'ESET Dukes October 2019', 'NCSC APT29 July 2020', 'Cybersecurity Advisory SVR TTP May 2021', 'CrowdStrike StellarParticle January 2022', 'Crowdstrike DNC June 2016', 'Volexity SolarWinds', 'Secureworks IRON HEMLOCK Profile', 'Secureworks IRON RITUAL Profile', 'Microsoft Threat Actor Naming July 2023', 'MSTIC NOBELIUM Mar 2021', 'MSTIC NOBELIUM May 2021', 'MSTIC Nobelium Toolset May 2021', 'MSRC Nobelium June 2021', 'SentinelOne NobleBaron June 2021', 'Unit 42 SolarStorm December 2020', 'F-Secure The Dukes', 'ESET Dukes October 2019', 'NCSC APT29 July 2020', 'Cybersecurity Advisory SVR TTP May 2021', 'FireEye SUNBURST Backdoor December 2020', 'Mandiant APT29 Eye Spy Email Nov 22', 'Microsoft Unidentified Dec 2018']"
