group_id,associated_id
G1028,Arid Viper
G1028,Big Bang APT
G1028,Desert Falcon
G1028,Grey Karkadann
G1028,Mantis
G1028,TAG-63
G1028,Two-tailed Scorpion
G0099,Blind Eagle
G0006,Comment Crew
G0006,Comment Group
G0006,Comment Panda
G0005,DNSCALC
G0005,DynCalc
G0005,IXESHE
G0005,Numbered Panda
G0025,Deputy Dog
G0026,Dynamite Panda
G0026,TG-0416
G0026,Threat Group-0416
G0073,C0d0so0
G0073,Codoso
G0073,Codoso Team
G0073,Sunshop Group
G0007,FROZENLAKE
G0007,Fancy Bear
G0007,Forest Blizzard
G0007,Group 74
G0007,IRON TWILIGHT
G0007,Pawn Storm
G0007,SNAKEMACKEREL
G0007,STRONTIUM
G0007,Sednit
G0007,Sofacy
G0007,Swallowtail
G0007,TG-4127
G0007,Threat Group-4127
G0007,Tsar Team
G0016,Blue Kitsune
G0016,Cozy Bear
G0016,CozyDuke
G0016,Dark Halo
G0016,IRON HEMLOCK
G0016,IRON RITUAL
G0016,Midnight Blizzard
G0016,NOBELIUM
G0016,NobleBaron
G0016,SolarStorm
G0016,The Dukes
G0016,UNC2452
G0016,UNC3524
G0016,YTTRIUM
G0022,Buckeye
G0022,Gothic Panda
G0022,Pirpi
G0022,TG-0110
G0022,Threat Group-0110
G0022,UPS Team
G0050,APT-C-00
G0050,BISMUTH
G0050,Canvas Cyclone
G0050,OceanLotus
G0050,SeaLotus
G0064,Elfin
G0064,HOLMIUM
G0064,Peach Sandstorm
G0067,Group123
G0067,InkySquid
G0067,Reaper
G0067,Ricochet Chollima
G0067,ScarCruft
G0067,TEMP.Reaper
G0082,BeagleBoyz
G0082,Bluenoroff
G0082,COPERNICIUM
G0082,NICKEL GLADSTONE
G0082,Sapphire Sleet
G0082,Stardust Chollima
G0087,Chafer
G0087,ITG07
G0087,Remix Kitten
G0096,BARIUM
G0096,Brass Typhoon
G0096,Wicked Panda
G1023,BRONZE FLEETWOOD
G1023,Keyhole Panda
G1023,MANGANESE
G1023,Mulberry Typhoon
G1023,UNC2630
G1030,AMERICIUM
G1030,Agonizing Serpens
G1030,BlackShadow
G1030,Pink Sandstorm
G0130,AjaxTM
G0130,Flying Kitten
G0130,Operation Saffron Rose
G0130,Operation Woolen-Goldfish
G0130,Rocket Kitten
G1024,GOLD SAHARA
G1024,PUNK SPIDER
G0138,Onyx Sleet
G0138,PLUTONIUM
G0138,Silent Chollima
G0001,Group 72
G1002,T-APT-17
