source ID,target ID,mapping description
G1028,S0339,
G0099,S0434,(Citation: QiAnXin APT-C-36 Feb2019)
G0006,S0017,(Citation: Mandiant APT1)
G0006,S0025,(Citation: Mandiant APT1)
G0006,S0119,(Citation: Mandiant APT1)
G0006,S0026,(Citation: Mandiant APT1)
G0006,S0121,(Citation: Mandiant APT1)
G0006,S0002,(Citation: Mandiant APT1)
G0006,S0039,(Citation: Mandiant APT1)
G0006,S0122,(Citation: Mandiant APT1)
G0006,S0012,(Citation: Mandiant APT1)
G0006,S0029,(Citation: Mandiant APT1)
G0006,S0345,(Citation: Mandiant APT1 Appendix)(Citation: McAfee Oceansalt Oct 2018)
G0006,S0057,(Citation: Mandiant APT1)
G0006,S0109,(Citation: Mandiant APT1)
G0006,S0008,(Citation: Mandiant APT1)
G0006,S0100,(Citation: Mandiant APT1)
G0006,S0006,(Citation: Mandiant APT1)
G0006,S0123,(Citation: Mandiant APT1 Appendix)
G0005,S0040,(Citation: Trend Micro IXESHE 2012)
G0005,S0015,(Citation: Moran 2013)(Citation: Moran 2014)
G0005,S0003,(Citation: Moran 2014)
G0023,S0064,(Citation: FireEye EPS Awakens Part 2)
G0025,S0069,(Citation: FireEye APT17)
G0026,S0070,(Citation: RSA2017 Detect and Respond Adair)
G0026,S0124,(Citation: Palo Alto DNS Requests)
G0026,S0106,(Citation: Dell Lateral Movement)
G0026,S0032,(Citation: RSA2017 Detect and Respond Adair)
G0026,S0071,(Citation: Dell Lateral Movement)(Citation: ThreatStream Evasion Analysis)
G0073,S0154,(Citation: FireEye APT19)
G0073,S0363,(Citation: NCSC Joint Report Public Tools)
G0007,S0045,(Citation: Kaspersky Sofacy)(Citation: Securelist Sofacy Feb 2018)
G0007,S0023,(Citation: FireEye APT28)(Citation: Kaspersky Sofacy)(Citation: Securelist Sofacy Feb 2018)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0137,(Citation: FireEye APT28)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0351,(Citation: Unit42 Cannon Nov 2018)(Citation: Unit42 Sofacy Dec 2018)
G0007,S0243,(Citation: Sofacy DealersChoice)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0134,(Citation: ESET Sednit Part 3)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0502,(Citation: NSA/FBI Drovorub August 2020)
G0007,S0193,(Citation: Überwachung APT28 Forfiles June 2015)
G0007,S0410,(Citation: Fysbis Palo Alto Analysis)
G0007,S0135,(Citation: ESET Sednit Part 3)
G0007,S0044,(Citation: FireEye APT28 January 2017)(Citation: Kaspersky Sofacy)(Citation: Securelist Sofacy Feb 2018)(Citation: US District Court Indictment GRU Oct 2018)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0250,(Citation: Palo Alto Sofacy 06-2018)
G0007,S0162,(Citation: XAgentOSX 2017)(Citation: Sofacy Komplex Trojan)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0397,(Citation: ESET LoJax Sept 2018)
G0007,S0002,(Citation: Kaspersky Sofacy)
G0007,S0039,(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,S0138,(Citation: FireEye APT28)
G0007,S0174,(Citation: FireEye APT28 Hospitality Aug 2017)(Citation: US District Court Indictment GRU Oct 2018) 
G0007,S0183,(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,S0136,(Citation: ESET Sednit Part 3)
G0007,S0645,(Citation: Crowdstrike DNC June 2016)
G0007,S0191,(Citation: Überwachung APT28 Forfiles June 2015)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0161,(Citation: XAgentOSX 2017)(Citation: Symantec APT28 Oct 2018)(Citation: US District Court Indictment GRU Oct 2018)
G0007,S0117,(Citation: ESET Sednit Part 3)(Citation: Symantec APT28 Oct 2018)(Citation: US District Court Indictment GRU Oct 2018)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017)
G0007,S0251,(Citation: Palo Alto Sofacy 06-2018)(Citation: Unit42 Cannon Nov 2018)(Citation: Securelist Sofacy Feb 2018)(Citation: Unit42 Sofacy Dec 2018)(Citation: ESET Zebrocy May 2019)
G0007,S0160,(Citation: Unit 42 Sofacy Feb 2018)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0016,S0677,(Citation: MSTIC Nobelium Oct 2021)
G0016,S0552,(Citation: Microsoft Analyzing Solorigate Dec 2020)(Citation: CrowdStrike StellarParticle January 2022)(Citation: ESET T3 Threat Report 2021)
G0016,S0521,(Citation: ESET T3 Threat Report 2021)
G0016,S0635,(Citation: MSTIC Nobelium Toolset May 2021)
G0016,S0054,(Citation: F-Secure The Dukes)
G0016,S0154,(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: MSTIC NOBELIUM May 2021)(Citation: MSTIC Nobelium Toolset May 2021)(Citation: SentinelOne NobleBaron June 2021)(Citation: ESET T3 Threat Report 2021)(Citation: Secureworks IRON RITUAL Profile)(Citation: Secureworks IRON RITUAL USAID Phish May 2021)
G0016,S0050,(Citation: F-Secure The Dukes)(Citation: Secureworks IRON HEMLOCK Profile)
G0016,S0046,(Citation: F-Secure The Dukes)(Citation: Secureworks IRON HEMLOCK Profile)
G0016,S0634,(Citation: MSTIC Nobelium Toolset May 2021)
G0016,S0512,(Citation: ESET Dukes October 2019)(Citation: Secureworks IRON HEMLOCK Profile)
G0016,S0661,(Citation: MSTIC FoggyWeb September 2021)
G0016,S0049,(Citation: F-Secure The Dukes)
