subtechnique_id,sub-technique of,relationship
T1548.002,T1548,sub-technique
T1548.004,T1548,sub-technique
T1548.001,T1548,sub-technique
T1548.003,T1548,sub-technique
T1548.006,T1548,sub-technique
T1548.005,T1548,sub-technique
T1134.002,T1134,sub-technique
T1134.003,T1134,sub-technique
T1134.004,T1134,sub-technique
T1134.005,T1134,sub-technique
T1134.001,T1134,sub-technique
T1087.004,T1087,sub-technique
T1087.002,T1087,sub-technique
T1087.003,T1087,sub-technique
T1087.001,T1087,sub-technique
T1098.001,T1098,sub-technique
T1098.003,T1098,sub-technique
T1098.006,T1098,sub-technique
T1098.002,T1098,sub-technique
T1098.007,T1098,sub-technique
T1098.005,T1098,sub-technique
T1098.004,T1098,sub-technique
T1583.005,T1583,sub-technique
T1583.002,T1583,sub-technique
T1583.001,T1583,sub-technique
T1583.008,T1583,sub-technique
T1583.004,T1583,sub-technique
T1583.007,T1583,sub-technique
T1583.003,T1583,sub-technique
T1583.006,T1583,sub-technique
T1595.001,T1595,sub-technique
T1595.002,T1595,sub-technique
T1595.003,T1595,sub-technique
T1557.002,T1557,sub-technique
T1557.003,T1557,sub-technique
T1557.004,T1557,sub-technique
T1557.001,T1557,sub-technique
T1071.004,T1071,sub-technique
T1071.002,T1071,sub-technique
T1071.003,T1071,sub-technique
T1071.005,T1071,sub-technique
T1071.001,T1071,sub-technique
T1560.003,T1560,sub-technique
T1560.002,T1560,sub-technique
T1560.001,T1560,sub-technique
T1020.001,T1020,sub-technique
T1547.014,T1547,sub-technique
T1547.002,T1547,sub-technique
T1547.006,T1547,sub-technique
T1547.008,T1547,sub-technique
T1547.015,T1547,sub-technique
T1547.010,T1547,sub-technique
T1547.012,T1547,sub-technique
T1547.007,T1547,sub-technique
T1547.001,T1547,sub-technique
T1547.005,T1547,sub-technique
T1547.009,T1547,sub-technique
T1547.003,T1547,sub-technique
T1547.004,T1547,sub-technique
T1547.013,T1547,sub-technique
T1037.002,T1037,sub-technique
T1037.001,T1037,sub-technique
T1037.003,T1037,sub-technique
T1037.004,T1037,sub-technique
T1037.005,T1037,sub-technique
T1110.004,T1110,sub-technique
T1110.002,T1110,sub-technique
T1110.001,T1110,sub-technique
T1110.003,T1110,sub-technique
T1059.002,T1059,sub-technique
T1059.010,T1059,sub-technique
T1059.009,T1059,sub-technique
T1059.007,T1059,sub-technique
T1059.011,T1059,sub-technique
T1059.008,T1059,sub-technique
T1059.001,T1059,sub-technique
T1059.006,T1059,sub-technique
T1059.004,T1059,sub-technique
T1059.005,T1059,sub-technique
T1059.003,T1059,sub-technique
T1586.003,T1586,sub-technique
T1586.002,T1586,sub-technique
T1586.001,T1586,sub-technique
T1584.005,T1584,sub-technique
T1584.002,T1584,sub-technique
T1584.001,T1584,sub-technique
T1584.008,T1584,sub-technique
T1584.004,T1584,sub-technique
T1584.007,T1584,sub-technique
T1584.003,T1584,sub-technique
T1584.006,T1584,sub-technique
T1136.003,T1136,sub-technique
T1136.002,T1136,sub-technique
T1136.001,T1136,sub-technique
T1543.005,T1543,sub-technique
T1543.001,T1543,sub-technique
T1543.004,T1543,sub-technique
T1543.002,T1543,sub-technique
T1543.003,T1543,sub-technique
T1555.006,T1555,sub-technique
T1555.003,T1555,sub-technique
T1555.001,T1555,sub-technique
T1555.005,T1555,sub-technique
T1555.002,T1555,sub-technique
T1555.004,T1555,sub-technique
T1485.001,T1485,sub-technique
T1132.002,T1132,sub-technique
T1132.001,T1132,sub-technique
T1565.003,T1565,sub-technique
T1565.001,T1565,sub-technique
T1565.002,T1565,sub-technique
T1001.001,T1001,sub-technique
T1001.003,T1001,sub-technique
T1001.002,T1001,sub-technique
T1074.001,T1074,sub-technique
T1074.002,T1074,sub-technique
T1602.002,T1602,sub-technique
T1602.001,T1602,sub-technique
T1213.003,T1213,sub-technique
T1213.001,T1213,sub-technique
T1213.004,T1213,sub-technique
T1213.005,T1213,sub-technique
T1213.002,T1213,sub-technique
T1491.002,T1491,sub-technique
T1491.001,T1491,sub-technique
T1587.002,T1587,sub-technique
T1587.003,T1587,sub-technique
T1587.004,T1587,sub-technique
T1587.001,T1587,sub-technique
T1561.001,T1561,sub-technique
T1561.002,T1561,sub-technique
T1484.001,T1484,sub-technique
T1484.002,T1484,sub-technique
T1568.003,T1568,sub-technique
T1568.002,T1568,sub-technique
T1568.001,T1568,sub-technique
T1114.003,T1114,sub-technique
T1114.001,T1114,sub-technique
T1114.002,T1114,sub-technique
T1573.002,T1573,sub-technique
T1573.001,T1573,sub-technique
T1499.003,T1499,sub-technique
T1499.004,T1499,sub-technique
T1499.001,T1499,sub-technique
T1499.002,T1499,sub-technique
T1585.003,T1585,sub-technique
T1585.002,T1585,sub-technique
T1585.001,T1585,sub-technique
T1546.008,T1546,sub-technique
T1546.009,T1546,sub-technique
T1546.010,T1546,sub-technique
T1546.011,T1546,sub-technique
T1546.001,T1546,sub-technique
T1546.015,T1546,sub-technique
T1546.014,T1546,sub-technique
T1546.012,T1546,sub-technique
T1546.016,T1546,sub-technique
T1546.006,T1546,sub-technique
T1546.007,T1546,sub-technique
T1546.013,T1546,sub-technique
T1546.002,T1546,sub-technique
T1546.005,T1546,sub-technique
T1546.017,T1546,sub-technique
T1546.004,T1546,sub-technique
T1546.003,T1546,sub-technique
T1480.001,T1480,sub-technique
T1480.002,T1480,sub-technique
T1048.002,T1048,sub-technique
T1048.001,T1048,sub-technique
T1048.003,T1048,sub-technique
T1011.001,T1011,sub-technique
T1052.001,T1052,sub-technique
T1567.004,T1567,sub-technique
T1567.002,T1567,sub-technique
T1567.001,T1567,sub-technique
T1567.003,T1567,sub-technique
T1222.002,T1222,sub-technique
T1222.001,T1222,sub-technique
T1606.002,T1606,sub-technique
T1606.001,T1606,sub-technique
T1592.004,T1592,sub-technique
T1592.003,T1592,sub-technique
T1592.001,T1592,sub-technique
T1592.002,T1592,sub-technique
T1589.001,T1589,sub-technique
T1589.002,T1589,sub-technique
T1589.003,T1589,sub-technique
T1590.002,T1590,sub-technique
T1590.001,T1590,sub-technique
T1590.005,T1590,sub-technique
T1590.006,T1590,sub-technique
T1590.004,T1590,sub-technique
T1590.003,T1590,sub-technique
T1591.002,T1591,sub-technique
T1591.001,T1591,sub-technique
T1591.003,T1591,sub-technique
T1591.004,T1591,sub-technique
T1564.008,T1564,sub-technique
T1564.012,T1564,sub-technique
T1564.005,T1564,sub-technique
T1564.001,T1564,sub-technique
T1564.002,T1564,sub-technique
T1564.003,T1564,sub-technique
T1564.011,T1564,sub-technique
T1564.004,T1564,sub-technique
T1564.010,T1564,sub-technique
T1564.009,T1564,sub-technique
T1564.006,T1564,sub-technique
T1564.007,T1564,sub-technique
T1574.014,T1574,sub-technique
T1574.012,T1574,sub-technique
T1574.001,T1574,sub-technique
T1574.002,T1574,sub-technique
T1574.004,T1574,sub-technique
T1574.006,T1574,sub-technique
T1574.005,T1574,sub-technique
T1574.013,T1574,sub-technique
T1574.007,T1574,sub-technique
